2015-08-20 01:56:36.449 67057 LOG File descriptor limit: 256 (H:-1), max_client_conn: 100, max fds possible: 110
2015-08-20 01:56:36.450 67057 LOG listening on unix:/tmp/.s.PGSQL.9346
2015-08-20 01:56:36.450 67057 LOG process up: pgbouncer 1.5.5, libevent 2.0.22-stable (kqueue), adns: evdns2
2015-08-20 01:57:36.454 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 01:58:36.459 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 01:59:36.461 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:00:36.463 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:01:36.467 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:02:36.467 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:03:36.472 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:04:36.475 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:05:36.477 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:06:36.482 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:07:36.486 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:08:36.496 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:09:36.500 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:10:36.502 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:11:36.511 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:12:36.517 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:13:36.527 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:14:36.535 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:15:36.537 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:16:36.538 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:17:36.548 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:18:36.558 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:19:36.564 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:20:36.574 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:21:36.583 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:22:36.593 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:23:36.604 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:24:36.614 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:25:36.620 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:26:36.627 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:27:36.636 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:28:36.637 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:29:36.647 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:30:36.652 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:31:36.655 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:32:36.657 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:33:36.660 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:34:36.661 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:35:36.662 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:36:36.672 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:37:36.678 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:38:36.687 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:39:36.690 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:40:36.691 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:41:36.701 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:42:36.711 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:43:36.719 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:44:36.729 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2015-08-20 02:45:36.735 67057 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
